Set_Number,SCENARIO,POLICY,AUC_LQ_DHA-PPQ-AQ-triple,AUC_Med_DHA-PPQ-AQ-triple,AUC_UQ_DHA-PPQ-AQ-triple,AUC_LQ_DHA-PPQ-LUM-triple,AUC_Med_DHA-PPQ-LUM-triple,AUC_UQ_DHA-PPQ-LUM-triple,AUC_LQ_DHA-PPQ-double,AUC_Med_DHA-PPQ-double,AUC_UQ_DHA-PPQ-double,AUC_LQ_ASAQ-double,AUC_Med_ASAQ-double,AUC_UQ_ASAQ-double
5,no_184,MFT,0,0.02,0.06,0,0,0,0.02,0.07,0.22,1.11,3.33,12.57
5,no_184,5YC,0,0.04,0.38,0,0,0,0.07,0.43,3.03,1.68,3.29,21.09
5,no_184,ADCYC,0.06,0.55,3.2,0,0,0,0.73,1.94,42.64,1.32,3.05,20.29
5,no_mdr1,MFT,0,0,0.12,0,0,0,0.04,0.16,0.64,1.46,3.41,23.46
5,no_mdr1,5YC,0,0.05,0.24,0,0,0,0.06,0.26,0.83,1.19,3.94,21.04
5,no_mdr1,ADCYC,0.06,0.5,2.28,0,0,0,0.84,3.01,45.75,1.34,3.06,17.12
5,no_184_no_mdr1,MFT,0,0.03,0.17,0,0,0,0.03,0.12,0.41,1.38,2.74,31.49
5,no_184_no_mdr1,5YC,0,0.06,1.14,0,0,0,0.04,0.33,3.41,1.95,7.06,57.8
5,no_184_no_mdr1,ADCYC,0.06,0.67,19.29,0,0,0,0.82,6.18,80.8,1.17,4.66,49.34
5,baseline,MFT,0,0.03,0.2,0,0,0,0,0,0.22,0,1.47,22.13
5,baseline,5YC,0,0.03,0.16,0,0,0,0,0,0.84,0.09,1.04,9.7
5,baseline,ADCYC,0.06,0.49,8.86,0,0,0,0.03,4.29,71.28,0,0.78,28.12
