mutation_rate,treatment_coverage,beta,cost_of_resistances_factor,cycling_period
0.010424903789517862,0.8054048884527754,0.1628363057497775,0.7622896086628457,417
0.012658789136179004,0.332374039579116,0.017525642988046267,1.0277896698567548,658
0.007340756646642728,0.5492751427683142,0.20895712774747832,1.0641177184863084,545
0.008615354241774344,0.4330776331566065,0.199665886016642,0.9384551056754706,683
0.012080278659926884,0.8209653125805176,0.4422206645012718,1.2223074650551786,799
0.014161727763608491,0.402578112257444,0.025915814334155993,0.8261682571466882,980
0.005447152857996186,0.4405129638949635,0.14900923204761685,1.158032579402761,1643
0.01651091959440868,0.6538260136978348,0.3037556050146112,1.0195221149362952,955
0.0033609895968075574,0.4010227493148277,0.02220836496358306,0.9842418731022916,1678
0.005009950572882143,0.8731782792352456,0.02789608306606517,1.1044018363019283,1387
0.018790278682015556,0.5024630296712326,0.010103814870705429,1.2726920112088345,1453
0.005324627330279483,0.8690914778193695,0.01373913806372027,1.2053932293341918,1506
0.0027133150125522526,0.8879305827695847,0.08839517470242421,0.9946886556408114,1492
0.018136463200947067,0.5421851452357439,0.054158499082261564,0.9235563111237909,1534
0.003365339841834873,0.884041938629097,0.010368486097260198,1.198941770692353,1735
0.004013619501525343,0.4851859281312324,0.11975698327024002,0.8597150053236302,1169
0.00860148135543091,0.25149792079939376,0.04559642096258413,0.8080050976766027,955
0.002389788360239915,0.49829017097720224,0.07349297555227251,1.1979992251770542,539
0.011250408337334039,0.3060902363766113,0.2715520411070835,1.2835604355031225,1332
0.008992274907876893,0.7829732243886378,0.016032128714985924,0.9889679378247505,497
0.01779626270857305,0.43235460339112947,0.02001926696116985,0.7532483995313648,1392
0.004901498469507477,0.5135910309680752,0.15609484610702118,1.253181687214077,1255
0.013687827962638153,0.7286728154478499,0.010063517709396225,1.1269650527438964,1282
0.018238568899786995,0.26773355512276265,0.061591670499663326,1.2677240390401456,1086
0.0066089870128597655,0.7199029671555124,0.1008391436712926,1.244368444941652,1607
0.009146133260774212,0.4933905449919525,0.12495881420635184,0.9944380457424098,605
0.016124551911798214,0.8756519524165589,0.14064687424965608,0.9328926715374252,960
0.0029983586832120403,0.7917790481648246,0.027933738017883146,1.04140022882139,1180
0.018559656203652613,0.24078949638299477,0.023768091269890157,0.7868902282582104,1158
0.007293313198219182,0.3288312224867881,0.023013482064991243,0.9309506008222301,887
0.0028497202751958137,0.7263959300408958,0.29443783814224633,0.9025734526484201,1407
0.008363000588294086,0.5726745988815538,0.029467588002696093,0.7053795388581097,859
0.004033656400992331,0.8131290428485032,0.5521054470389581,1.0811736464574526,1221
0.008896584907976167,0.7049625954438465,0.07804060807258914,1.1746803714513228,1306
0.014830136478638184,0.36808901877500894,0.023846292776199544,0.8235489863435392,1348
0.006090768204579265,0.6739183570555167,0.02635617469155475,1.2041838864524026,1763
0.01738314435158922,0.7014318856524802,0.01852922361608513,1.1275013634645097,1803
0.002704300475184815,0.4136994775696434,0.03685228291721807,0.9407877783045053,669
0.016772171719007075,0.534044978075838,0.06408362093440337,0.8323571720897764,1181
0.007881604751785891,0.6895159227912586,0.052143638622882627,0.9795449787134269,1267
0.00836134535672669,0.3865581392204495,0.24545935683494977,1.0099338698843061,1481
0.0031983936442356543,0.47674609775794213,0.009912507909526224,0.8289344585152386,1313
0.007999457160463717,0.6449408175209852,0.019106579983264066,0.8872597023702704,1055
0.006713879687321971,0.6316016602847327,0.21603400051707947,1.1466028883393402,1550
0.006271557834100912,0.8242781038276201,0.021229161181768236,0.8937022447842957,1034
0.0024331818071545355,0.5823977448474811,0.15148290329109682,0.8598183106534557,1043
0.009661999208967457,0.441333831943819,0.06789350778677836,1.062664620379814,464
0.007448336721605607,0.8285121922615812,0.08231527319608654,1.2122187815982066,944
0.0023692027353581463,0.3663092802884409,0.4597862462080842,1.0322633533471632,1011
0.006430676253935456,0.23757761932695712,0.41267052091719125,1.0335328566274842,1290
0.0062474847244225334,0.34226683777279066,0.027650552338103828,0.8526356062511149,547
0.0037859164407077883,0.8690573599394158,0.010502865925078198,1.2757254479083968,544
0.01145699382031044,0.8941359439627254,0.044909199782145685,1.0334565127081687,1774
0.0111164709446628,0.8343159194786334,0.018986849063219916,0.7759428403539853,1724
0.0029570925248286273,0.41707526513340887,0.38583518856031623,0.9998441791651969,862
0.008706746582158796,0.4857710569736808,0.010604278979154187,0.8765386868104934,1548
0.01279126429432711,0.5114402824984947,0.021042050312911786,0.8519380759124585,1814
0.007089514394060664,0.21080789503672925,0.031605104967431644,0.8931072086901504,505
0.008340784105757898,0.6761739395309162,0.01697986620849238,1.0389263932223776,1002
0.014029210757666834,0.3779487289477673,0.03226714627499191,0.9286925906093577,1600
0.01586681706673447,0.6924460312517684,0.014647368099745471,0.752489230350506,1482
0.01744420653097548,0.8988290833688213,0.01790264437493646,1.1629876271913624,891
0.019030861418198944,0.8432824338827982,0.03781020632294499,0.9777430970732841,1636
0.01716283835975648,0.7598868512721775,0.03787454105028911,1.084981774269826,1685
0.01598980535019759,0.8911512911764743,0.22656941662021302,0.8374501104568368,969
0.009234741018245105,0.34208903145322334,0.028438696788505226,0.9298758898054471,1824
0.01567533070757071,0.2830555242391186,0.03048906545989743,1.1240915886228313,1612
0.013527032339206291,0.36591699812855194,0.34098170750732465,0.7302232251116725,1682
0.00516442829914449,0.8647529387961419,0.05192498101787133,1.2266434515886555,1067
0.013935331501392473,0.670445269677112,0.21096951797233612,1.2873380857232894,1126
0.0077725686773682055,0.33180328853907004,0.026697063008552874,0.7799154908169867,1768
0.013074404239903848,0.8203283205911811,0.24738039494043382,1.22822840951329,730
0.0134695807837845,0.33218907903275163,0.03059511081128024,0.8741140406830107,444
0.013988992213440311,0.5264622869408059,0.09218062166786088,1.212145875294119,1618
0.017516502216380677,0.7205172121988965,0.04385118423446209,1.0323475283545056,1405
0.0055805538205635965,0.288477765743529,0.041745840587230715,1.2308595861228602,1476
0.013905068551274635,0.3726312563424684,0.04354444776347713,0.9553737989479607,1474
0.01968261506469908,0.815259979112497,0.20106417966169282,1.2033511188997559,1158
0.013861242886503233,0.5764900667173447,0.012194050167188273,1.0962445186284873,1721
0.007714134361474187,0.8265872402206753,0.49365688631906757,0.8230034770678185,611
0.0032081723009494936,0.7343783155002679,0.021784865908227185,0.974725764230154,828
0.006439438720966924,0.7696424152330363,0.06563698563860912,0.8136876631571,1478
0.006250012265695387,0.5516718237392064,0.029475520467180792,1.2114644034809974,1226
0.004508892018528676,0.4320856905205841,0.04890619783281063,1.1263821343834381,955
0.014340630285275177,0.8955237576665731,0.17243887539161543,1.16295468206102,634
